,Title,Rating,Metascore,No Votes,Url,Description
74,Drive,7.8,79,689910,https://www.imdb.com/title/tt0780504/?ref_=sr_t_75,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
75,Sicario,7.7,82,461460,https://www.imdb.com/title/tt3397884/?ref_=sr_t_76,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
76,Memento,8.4,83,1299077,https://www.imdb.com/title/tt0209144/?ref_=sr_t_77,A man with short-term memory loss attempts to track down his wife's murderer.
77,The Usual Suspects,8.5,76,1127981,https://www.imdb.com/title/tt0114814/?ref_=sr_t_78,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
78,The Devil Wears Prada,6.9,62,450259,https://www.imdb.com/title/tt0458352/?ref_=sr_t_79,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
79,Malena,7.4,54,109898,https://www.imdb.com/title/tt0213847/?ref_=sr_t_80,"Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town."
80,Knives Out,7.9,82,749687,https://www.imdb.com/title/tt8946378/?ref_=sr_t_81,"A detective investigates the death of the patriarch of an eccentric, combative family."
81,Boogie Nights,7.9,86,278130,https://www.imdb.com/title/tt0118749/?ref_=sr_t_82,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
82,The Irishman,7.8,94,420246,https://www.imdb.com/title/tt1302006/?ref_=sr_t_83,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
83,Avatar,7.9,83,1367404,https://www.imdb.com/title/tt0499549/?ref_=sr_t_84,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
84,Hell or High Water,7.6,88,246619,https://www.imdb.com/title/tt2582782/?ref_=sr_t_85,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch."
85,Ford v Ferrari,8.1,81,446759,https://www.imdb.com/title/tt1950186/?ref_=sr_t_86,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
86,Tropic Thunder,7.1,71,440073,https://www.imdb.com/title/tt0942385/?ref_=sr_t_87,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying."
87,Sense and Sensibility,7.7,84,123092,https://www.imdb.com/title/tt0114388/?ref_=sr_t_88,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
88,Cars,7.2,73,455835,https://www.imdb.com/title/tt0317219/?ref_=sr_t_89,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
89,La La Land,8.0,94,644014,https://www.imdb.com/title/tt3783958/?ref_=sr_t_90,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
90,1917,8.2,78,653047,https://www.imdb.com/title/tt8579674/?ref_=sr_t_91,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
91,American Hustle,7.2,90,495768,https://www.imdb.com/title/tt1800241/?ref_=sr_t_92,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
92,Black Hawk Down,7.7,74,417079,https://www.imdb.com/title/tt0265086/?ref_=sr_t_93,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
93,Pearl Harbor,6.2,44,347434,https://www.imdb.com/title/tt0213149/?ref_=sr_t_94,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
94,The Hateful Eight,7.8,68,644168,https://www.imdb.com/title/tt3460252/?ref_=sr_t_95,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
95,Mulholland Drive,7.9,86,376746,https://www.imdb.com/title/tt0166924/?ref_=sr_t_96,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
96,Spider-Man,7.4,73,862009,https://www.imdb.com/title/tt0145487/?ref_=sr_t_97,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy."
97,The Great Gatsby,7.2,55,582964,https://www.imdb.com/title/tt1343092/?ref_=sr_t_98,"A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age."
98,Harry Potter and the Half-Blood Prince,7.6,78,581344,https://www.imdb.com/title/tt0417741/?ref_=sr_t_99,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
99,The Social Network,7.8,95,744414,https://www.imdb.com/title/tt1285016/?ref_=sr_t_100,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
100,Pretty Woman,7.1,51,347606,https://www.imdb.com/title/tt0100405/?ref_=sr_t_101,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
101,Trolls,6.4,55,89437,https://www.imdb.com/title/tt1679335/?ref_=sr_t_102,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
102,Braveheart,8.3,68,1076253,https://www.imdb.com/title/tt0112573/?ref_=sr_t_103,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
103,The Fifth Element,7.6,52,496684,https://www.imdb.com/title/tt0119116/?ref_=sr_t_104,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
104,Logan,8.1,77,812501,https://www.imdb.com/title/tt3315342/?ref_=sr_t_105,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
105,Terminator 2: Judgment Day,8.6,75,1152484,https://www.imdb.com/title/tt0103064/?ref_=sr_t_106,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
106,The Greatest Showman,7.5,48,303071,https://www.imdb.com/title/tt1485796/?ref_=sr_t_107,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
107,The Town,7.5,74,409357,https://www.imdb.com/title/tt0840361/?ref_=sr_t_108,"A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire."
108,Iron Man,7.9,79,1106195,https://www.imdb.com/title/tt0371746/?ref_=sr_t_109,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
109,The Lion King,8.5,88,1118024,https://www.imdb.com/title/tt0110357/?ref_=sr_t_110,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
110,The Mummy,7.1,48,452714,https://www.imdb.com/title/tt0120616/?ref_=sr_t_111,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love."
111,The Revenant,8.0,76,853719,https://www.imdb.com/title/tt1663202/?ref_=sr_t_112,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
112,Hacksaw Ridge,8.1,71,576530,https://www.imdb.com/title/tt2119532/?ref_=sr_t_113,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
113,A Beautiful Mind,8.2,72,971076,https://www.imdb.com/title/tt0268978/?ref_=sr_t_114,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
114,The Hobbit: An Unexpected Journey,7.8,58,859052,https://www.imdb.com/title/tt0903624/?ref_=sr_t_115,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
115,Batman Begins,8.2,70,1548334,https://www.imdb.com/title/tt0372784/?ref_=sr_t_116,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
116,Star Wars: Episode I - The Phantom Menace,6.5,51,842203,https://www.imdb.com/title/tt0120915/?ref_=sr_t_117,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory."
117,Avengers: Infinity War,8.4,68,1171065,https://www.imdb.com/title/tt4154756/?ref_=sr_t_118,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
118,The Grand Budapest Hotel,8.1,88,868143,https://www.imdb.com/title/tt2278388/?ref_=sr_t_119,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
119,Dunkirk,7.8,94,720204,https://www.imdb.com/title/tt5013056/?ref_=sr_t_120,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
120,Jojo Rabbit,7.9,58,428041,https://www.imdb.com/title/tt2584384/?ref_=sr_t_121,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.
121,The Lighthouse,7.4,83,244690,https://www.imdb.com/title/tt7984734/?ref_=sr_t_122,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
122,War for the Planet of the Apes,7.4,82,275361,https://www.imdb.com/title/tt3450958/?ref_=sr_t_123,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
123,Arrival,7.9,81,746334,https://www.imdb.com/title/tt2543164/?ref_=sr_t_124,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
124,The Help,8.1,62,483801,https://www.imdb.com/title/tt1454029/?ref_=sr_t_125,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
